"27","Neil Marshall","Adventure | Horror","Shauna Macdonald","Natalie Mendoza","Alex Reid","99 mins.","7.2"
"28","James Mangold","Biography | Drama | Music | Romance","Joaquin Phoenix","Reese Witherspoon","Ginnifer Goodwin","136 mins.","7.9"
"29","John Singleton","Action | Crime | Drama | Mystery | Thriller","Mark Wahlberg","Tyrese Gibson","Garrett Hedlund","109 mins.","6.9"
"30","Kirk Jones","Comedy | Family | Fantasy","Emma Thompson","Colin Firth","Angela Lansbury","97 mins.","6.6"
"31","Mike Mitchell","Adventure | Comedy | Family | Sci-Fi","Kurt Russell","Kelly Preston","Michael Angarano","100 mins.","6.2"
"32","Jaume Collet-Serra","Horror","Chad Michael Murray","Paris Hilton","Elisha Cuthbert","113 mins.","5.3"
"33","Woody Allen","Drama | Romance | Thriller","Scarlett Johansson","Jonathan Rhys Meyers","Emily Mortimer","124 mins.","7.7"
"34","Robert Rodriguez","Action | Adventure | Family | Fantasy","Cayden Boyd","George Lopez","Kristin Davis","93 mins.","3.5"
"35","Eli Roth","Horror","Jay Hernandez","Derek Richardson","Eythor Gudjonsson","94 mins.","5.9"
"36","Lexi Alexander","Crime | Drama | Sport","Elijah Wood","Charlie Hunnam","Claire Forlani","109 mins.","7.5"
"37","Steven Spielberg","Drama | History | Thriller","Eric Bana","Daniel Craig","Marie-Josée Croze","164 mins.","7.6"
"38","Shane Black","Comedy | Crime | Mystery","Robert Downey Jr.","Val Kilmer","Michelle Monaghan","103 mins.","7.6"
"39","John Stockwell","Action | Adventure | Crime | Thriller","Paul Walker","Jessica Alba","Scott Caan","110 mins.","5.8"
"40","Adam Shankman","Adventure | Comedy | Family","Steve Martin","Bonnie Hunt","Hilary Duff","94 mins.","5.4"
"41","Clement Virgo","Drama | Romance","Lauren Lee Smith","Eric Balfour","Polly Shannon","93 mins.","5.5"
"42","Ron Howard","Biography | Drama | Sport","Russell Crowe","Renée Zellweger","Craig Bierko","144 mins.","8.0"
"43","Lasse Hallström","Drama","Jennifer Lopez","Robert Redford","Morgan Freeman","108 mins.","7.0"
"44","Ken Kwapis","Comedy | Drama | Romance","Amber Tamblyn","Alexis Bledel","America Ferrera","119 mins.","6.6"
"45","Andrew Douglas","Drama | Horror | Mystery | Thriller","Ryan Reynolds","Melissa George","Jimmy Bennett","90 mins.","6.0"
"46","Jon Favreau","Action | Adventure | Comedy | Family | Fantasy | Sci-Fi","Josh Hutcherson","Jonah Bobo","Dax Shepard","101 mins.","6.1"
"47","Clare Kilner","Comedy | Romance","Dermot Mulroney","Debra Messing","Jack Davenport","90 mins.","6.1"
"48","Jim Jarmusch","Comedy | Drama | Mystery | Romance","Bill Murray","Jessica Lange","Sharon Stone","106 mins.","7.2"
"49","Adam Shankman","Action | Comedy | Drama | Family | Thriller","Vin Diesel","Brittany Snow","Max Thieriot","95 mins.","5.5"
"50","Tim Burton","Animation | Fantasy | Musical | Romance","Mike Johnson","Johnny Depp","Helena Bonham Carter","77 mins.","7.4"
"1","Tim Burton","Adventure | Comedy | Family | Fantasy","Johnny Depp","Freddie Highmore","David Kelly","115 mins.","6.7"
"2","Christopher Nolan","Action | Adventure","Christian Bale","Michael Caine","Ken Watanabe","140 mins.","8.3"
"3","Joe Wright","Drama | Romance","Keira Knightley","Matthew Macfadyen","Brenda Blethyn","129 mins.","7.8"
"4","Andrew Adamson","Adventure | Family | Fantasy","Tilda Swinton","Georgie Henley","William Moseley","143 mins.","6.9"
"5","Peter Jackson","Action | Adventure | Drama | Romance","Naomi Watts","Jack Black","Adrien Brody","187 mins.","7.3"
"6","James McTeigue","Action | Drama | Thriller","Hugo Weaving","Natalie Portman","Rupert Graves","132 mins.","8.2"
"7","Frank Miller","Crime | Thriller","Robert Rodriguez","Mickey Rourke","Clive Owen","124 mins.","8.1"
"8","Thomas Bezucha","Comedy | Drama | Romance","Dermot Mulroney","Sarah Jessica Parker","Claire Danes","103 mins.","6.3"
"9","Eric Darnell","Animation | Adventure | Comedy | Family","Tom McGrath","Chris Rock","Ben Stiller","86 mins.","6.9"
"10","Ridley Scott","Action | Adventure | Drama | History | War","Orlando Bloom","Eva Green","Liam Neeson","144 mins.","7.2"
"11","Ang Lee","Drama | Romance","Jake Gyllenhaal","Heath Ledger","Michelle Williams","134 mins.","7.7"
"12","David Dobkin","Comedy | Romance","Owen Wilson","Vince Vaughn","Rachel McAdams","119 mins.","7.0"
"13","Tim Story","Action | Adventure | Sci-Fi","Ioan Gruffudd","Michael Chiklis","Chris Evans","106 mins.","5.7"
"14","Judd Apatow","Comedy | Romance","Steve Carell","Catherine Keener","Paul Rudd","116 mins.","7.2"
"15","Joss Whedon","Action | Adventure | Sci-Fi | Thriller","Nathan Fillion","Gina Torres","Chiwetel Ejiofor","119 mins.","8.0"
"16","Rian Johnson","Crime | Drama | Mystery | Thriller","Joseph Gordon-Levitt","Lukas Haas","Emilie de Ravin","110 mins.","7.4"
"17","Julian Jarrold","Comedy | Drama | Music","Chiwetel Ejiofor","Joel Edgerton","Sarah-Jane Potts","107 mins.","7.0"
"18","Garth Jennings","Adventure | Comedy | Sci-Fi","Martin Freeman","Yasiin Bey","Sam Rockwell","109 mins.","6.8"
"19","Steven Spielberg","Adventure | Sci-Fi | Thriller","Tom Cruise","Dakota Fanning","Tim Robbins","116 mins.","6.5"
"20","Peter Segal","Comedy | Crime | Sport","Adam Sandler","Burt Reynolds","Chris Rock","113 mins.","6.4"
"21","Andy Tennant","Comedy | Romance","Will Smith","Eva Mendes","Kevin James","118 mins.","6.7"
"22","Doug Liman","Action | Comedy | Crime | Romance | Thriller","Brad Pitt","Angelina Jolie","Adam Brody","120 mins.","6.5"
"23","Francis Lawrence","Drama | Fantasy | Horror | Thriller","Keanu Reeves","Rachel Weisz","Djimon Hounsou","121 mins.","6.9"
"24","Michael Bay","Action | Adventure | Sci-Fi | Thriller","Scarlett Johansson","Ewan McGregor","Djimon Hounsou","136 mins.","6.9"
"25","Roger Kumble","Comedy | Romance","Ryan Reynolds","Amy Smart","Anna Faris","96 mins.","6.2"
"26","Neil Marshall","Adventure | Horror","Shauna Macdonald","Natalie Mendoza","Alex Reid","99 mins.","7.2"
"27","James Mangold","Biography | Drama | Music | Romance","Joaquin Phoenix","Reese Witherspoon","Ginnifer Goodwin","136 mins.","7.9"
